Show Number, Air Date, Round, Category, Value, Question, Answer
5250,2007-06-08,Double Jeopardy!,"PASS THE ""P""s",$1200,"It's a British word for a fistfight; in Hollywood, it's to add jokes to a comedy script",a punch-up
5504,2008-07-10,Double Jeopardy!,SHAKEN-UP SHAKESPEARE,$2000,"Yee-haw!  Colonel John Falstaff goes a-wooing in ""Lone Star Love"", a musical that moves this comedy to Texas",The Merry Wives of Windsor
5403,2008-02-20,Double Jeopardy!,THIS & THAT,$1600,"In German, it means ""until we see each other again""",auf wiedersehen
5052,2006-07-25,Jeopardy!,LEFTOVERS,$200,"A notebook newly brought to light shows this Procter partner's ""Eureka!"" moment in making Ivory soap float",Gamble
5145,2007-01-12,Jeopardy!,THE REPLACEMENTS,$200,"A piece that makes it to your foe's deepest row in checkers can be replaced with one of these ""royal"" ones",a king
4191,2002-11-18,Double Jeopardy!,ON THE WEB,$1200,"Looking for old high school friends?  Try this site, ""The World's Best Place to Reunite""",Classmates.com
5571,2008-11-24,Double Jeopardy!,ASTRONOMERS,$400,Oh my heavens!  In 1706 Danish astronomer Olaus Roemer published a new catalog listing these,stars
5670,2009-04-10,Double Jeopardy!,BORN IN 1909,$400,"Barry Goldwater, in Arizona, which still had this status",a territory
3656,2000-06-26,Jeopardy!,"""A"" PLUS",$100,To improvise a speech or performance on the spot,Ad-lib
5233,2007-05-16,Jeopardy!,RUSSIAN FOOD & DRINK,$600,"Named for a former Soviet city, this butter-filled fried chicken dish is often served in Russian cuisine",chicken Kiev
2890,1997-03-07,Double Jeopardy!,WORLD WAR I,$700,"Later a marshal, on April 14, 1918 he was named commander of all Allied forces in France",Marshal Ferdinand Foch
3680,2000-09-08,Double Jeopardy!,BEASTLY MOVIE TITLES,$200,This 1990 film is one of the few kids' pictures about sewer-dwelling reptiles,Teenage Mutant Ninja Turtles
4717,2005-02-22,Jeopardy!,"EAT IT, SPEND IT, OR WEAR IT",$800,Birr,spend it
4281,2003-03-24,Double Jeopardy!,"""O"" BABY!",$1200,Examples of this exotic flower include Snakemouth & Lady's Slipper,orchid
3265,1998-11-13,Double Jeopardy!,PAUL REVERE,$400,Boston's Museum of Fine Arts has an impressive collection of Revere's work in this metal,silver
5127,2006-12-19,Jeopardy!,"LET IT SNOW, LET IT SNOW, LET IT SNOW",$400,The National Weather Service defines this as snowy winds of 35 mph with 1/4 mile visibility lasting for 3 hours,a blizzard
3573,2000-03-01,Double Jeopardy!,"THERE'S AN ""A""",$1000,Krishna is the eighth & best-known of these incarnations of Vishnu,Avatars
3418,1999-06-16,Jeopardy!,AROUND THE WORLD,$400,"This Scandinavian country is quite flat: its highest point, Yding Skovhoj, is just 568 feet high",Denmark
5396,2008-02-11,Double Jeopardy!,DESCRIBING THE PRESIDENT,$400,"Had a Springfield in his step, look him up at his Gettysburg Address, enjoyed the theater a bit too much",Abraham Lincoln
2825,1996-12-06,Double Jeopardy!,WORLD FACTS,$600,"The lowest river in the world, it's revered by Jews, Christians & Muslims alike",The River Jordan
5250,2007-06-08,Double Jeopardy!,"PASS THE ""P""s",$2000,"The unscheduled temporary replacement of a TV show, often by a newsworthy event",preemption
5471,2008-05-26,Double Jeopardy!,WRITERS,"$2,200","Richard Wright wrote ""Native Son""; this fellow African-American author wrote ""Notes of a Native Son""",James Baldwin
6269,2011-12-15,Jeopardy!,PASTIMES,$1000,This basic knitting stitch is drawn through the back of the preceding loop,purl
4842,2005-10-04,Double Jeopardy!,CHAD IS RAD,$1600,It's the country directly north of Chad,Libya
2863,1997-01-29,Jeopardy!,TRAVEL U.S.A.,$100,Wicker furniture maker Harry Shill built the rolling chairs used on this city's Boardwalk,Atlantic City
3846,2001-04-30,Jeopardy!,A KATE-GORY,$500,"Celebrity birthdays for January 16 include Marilyn Horne, A.J. Foyt & this waif supermodel",Kate Moss
3801,2001-02-26,Jeopardy!,BEAR WITH ME,$400,Customers at the saloon of this frontier judge would buy sarsaparilla for his bear Bruno,Judge Roy Bean
5192,2007-03-20,Jeopardy!,"5 ""CC""s",$600,"When Native Americans put on the old soft shoes, they are often these, made of soft leather or deerskin",moccasins
4888,2005-12-07,Double Jeopardy!,"""F"" IN ANATOMY",$1600,The security of the ankle joint depends largely on this seemingly delicate bone,the fibula
4968,2006-03-29,Double Jeopardy!,RHYME TIME FOOD & DRINK,$1200,A malt beverage like O'Doul's with little or no alcohol,near beer
4504,2004-03-18,Jeopardy!,PRESIDENTS & FIRST LADIES,$200,In 1805 an agricultural society gave this U.S. president a gold medal for one of his inventions,Thomas Jefferson
5073,2006-10-04,Double Jeopardy!,CLASS FIELD TRIP,$1200,A class field trip to an aviary means you're going to an enclosure where these are kept,birds
6230,2011-10-21,Double Jeopardy!,"""GOOD"", ""BAD"" & ""UGLY"" MOVIES",$800,"Robert De Niro, Joe Pesci & Ray Liotta--need I say more?",Goodfellas
4756,2005-04-18,Jeopardy!,"FISH, BIRD OR MAMMAL",$1000,The margay,a mammal
6144,2011-05-05,Jeopardy!,POLITICIANS MAKE ME CUSS,$400,"""For the love of"" Wyoming senator Enzi!",Mike
1309,1990-04-19,Double Jeopardy!,HORSES,$200,This spotted breed originated in the Palouse River region of Washington & Idaho,Appaloosa
4756,2005-04-18,Double Jeopardy!,"I'M JUST A ""BILL""",$800,The top of this recreation item is called the bed & may be 800 pounds of slate,a billiard table
312,1985-11-19,Double Jeopardy!,SPORTS NICKNAMES,$200,Broadway Joe,Joe Namath
5895,2010-04-09,Jeopardy!,"IT'S A ""BUST""!",$400,Last-ditch Senate maneuver,a filibuster
5562,2008-11-11,Double Jeopardy!,ONCE UPON A NOVEMBER,$1200,"This pair saw the Pacific Ocean for the first time at the mouth of the Columbia River on Nov. 7, 1805",Lewis & Clark
2677,1996-04-02,Jeopardy!,CLOTHING,$400,Low necklines & high waists were features of the Empire Style popularized c. 1805 by this French empress,Josephine
3165,1998-05-08,Double Jeopardy!,CURRENT TV THEMES,$1000,"This group features Les Claypool performing the theme for ""South Park""",Primus
3883,2001-06-20,Double Jeopardy!,"""HY"" SCIENCE",$400,It's the main branch of engineering that studies the mechanical properties of fluids,hydraulic engineering
4691,2005-01-17,Jeopardy!,WORKING WITHOUT ANNETTE,$600,"With Annette nowhere in sight, Frankie Avalon played a 39-year-old teen angel in this 1978 musical film",Grease
5269,2007-07-05,Double Jeopardy!,THE DENVER MINT,$400,"(<a href=""http://www.j-archive.com/media/2007-07-05_DJ_26.jpg"" target=""_blank"">Kelly of the Clue Crew reports from the Denver Mint.</a>) Production of quarters starts with coils of metal fed into a press; it's mainly this metal, that's more associated with pennies",copper
5202,2007-04-03,Double Jeopardy!,AMERICAN FACES,$2000,"Known to many a slender fellow, he's the big guy <a href=""http://www.j-archive.com/media/2007-04-03_DJ_05.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2007-04-03_DJ_05a.jpg"" target=""_blank"">here</a> as he looked in those magazine ads",Charles Atlas
5733,2009-07-08,Double Jeopardy!,SHOP 'TIL YOU DROP,$1200,"This electronics store wants to be female-friendly & now has Magnolia Stores, which have a living room feel",Best Buy
5145,2007-01-12,Double Jeopardy!,"""O""PERA",$1600,Titania & Puck play a part in the Carl Maria Von Weber opera named for this king of the fairies,Oberon
4805,2005-06-24,Jeopardy!,E_____E,$200,"When it comes to this flat container, you can stuff it, lick it, or ""push"" it",an envelope
5934,2010-06-03,Double Jeopardy!,COLONIAL NAMES FOR COUNTRIES,$400,Dutch East Indies,Indonesia
2127,1993-11-30,Jeopardy!,CHICAGO,$100,"Some attribute this nickname of the city to its proud, boasting citizens, not its breeziness","""The Windy City"""
5229,2007-05-10,Jeopardy!,COLLEGE MOVIES,$400,"Disillusioned with their lives, Luke Wilson & Will Ferrell start their own frat in this film",Old School
4670,2004-12-17,Jeopardy!,"NEXT STOP, VENUS",$1000,"Similar to an eclipse, it's the term for the rare passing in front of the sun that Venus did on June 8, 2004",a transit
4164,2002-10-10,Jeopardy!,POETRY,$600,"William Blake asked, ""Little"" this ""who made thee?"" & ""gave the clothing of delight...wooly, bright""",lamb
4031,2002-02-25,Double Jeopardy!,BEHIND THE MUSIC,$2000,"<a href=""http://www.j-archive.com/media/2002-02-25_DJ_10.mp3"">One of the most poignant BTM episodes reunited this teen idol with his paralyzed friend Roland Winkler</a>",Leif Garrett
5843,2010-01-27,Double Jeopardy!,"YOU'VE MET YOUR ""MATCH""",$800,Beyond comparison,matchless
5529,2008-09-25,Jeopardy!,ENTOMBMENT,$200,Trinity Church in NYC was where this Treasury Sec. worshipped & where he was buried after the duel,Alexander Hamilton
5958,2010-07-07,Double Jeopardy!,FANTASTIC MR. FOX,$400,"When Mr. & Mrs. Fox start a family, the babies are called pups, kits or this, like a bear's",cubs
6180,2011-06-24,Jeopardy!,"""Y"" IS THE ONLY VOWEL",$200,British clergyman Charles Wesley was a notable Methodist writer of these,hymns
5152,2007-01-23,Jeopardy!,POETS & POETRY,$600,"""Seldom does a first book contain so few unsuccessful things"", said Amy Lowell of his ""Chicago Poems""",Sandburg
4561,2004-06-07,Jeopardy!,"CROSSWORD CLUES ""S""",$400,"City by the bay (3, 9)",San Francisco
2869,1997-02-06,Double Jeopardy!,RELIGION,$400,This synagogue ceremony marking manhood dates to the Middle Ages,Bar Mitzvah
4452,2004-01-06,Jeopardy!,SONGS EVERYBODY KNOWS,$1000,"This Italian classic whose title translates as ""O My Sun!"" dates from 1898","""'O Sole Mio"""
6219,2011-10-06,Jeopardy!,SCIENCE FICTION,$200,The central character in this 1953 novel by Ray Bradbury is third-generation fireman Guy Montag,Fahrenheit 451
5992,2010-10-05,Jeopardy!,TAKE A POWDER,$600,"Seidlitz Powder, taken for cathartic effect, includes this element's bicarbonate",sodium
1886,1992-11-16,Double Jeopardy!,SPORTS,$200,"In 1988 after 8 seasons as the NHL's MVP, this center was traded by Edmonton to the L.A. Kings",Wayne Gretzky
533,1986-12-24,Jeopardy!,VICE-PRESIDENTS,$100,"Some unkindly called this vice president & successor ""Nixon's revenge""",Ford
3422,1999-06-22,Double Jeopardy!,MILITARY SCIENCE,$600,The bugle call that starts the day or the morning ceremony with the flag raising,Reveille
5403,2008-02-20,Double Jeopardy!,THE STAMP ACT,$800,"The <a href=""http://www.j-archive.com/media/2008-02-20_DJ_02.jpg"" target=""_blank"">Pollination</a> stamps show a butterfly, a bat, bees & this small nectar-sipping bird",a hummingbird
6197,2011-07-19,Double Jeopardy!,PETER,$800,"In an HBO biopic John Lithgow played Blake Edwards, & Geoffrey Rush, this late actor",Peter Sellers
3567,2000-02-22,Double Jeopardy!,NOTABLES RHYME TIME,$600,Explorer Ericson's undies,Leif's briefs
3408,1999-06-02,Jeopardy!,ACCOUNTING EXAM,$300,The process of a firm selling parts of itself is: A. divestiture B. expenditure C. not really sure,Divestiture
4647,2004-11-16,Double Jeopardy!,PASSING TIME ON CAMPUS,$1200,"Raise some of these animals, like the Rhode Island Red or the Cornish, in the quad",chickens
3705,2000-10-13,Double Jeopardy!,BROADWAY,$600,"In April 2000 Sir Derek Jacobi returned to Broadway in a new production of this playwright's ""Uncle Vanya""",Anton Chekhov
6242,2011-11-08,Double Jeopardy!,"OOO, SORRY",$800,You're 20 years late--Lagos was replaced in 1991 as the capital of this country,Nigeria
2914,1997-04-10,Double Jeopardy!,REDHEADS,$200,This redheaded Aussie wife of Tom Cruise was actually born in Hawaii,Nicole Kidman
5782,2009-11-03,Jeopardy!,DANGEROUS PLANET,$800,"Almost 200,000 buildings were damaged or destroyed when one of these hit Kobe, Japan in 1995",an earthquake
3086,1998-01-19,Jeopardy!,CHAPTER ONE,$300,"""Nobody tells fibs in Boston"", says Mrs. Luna in chapter one of his 1880s novel ""The Bostonians""",Henry James
4272,2003-03-11,Jeopardy!,LET'S GET TOGETHER,$1000,This island in the Indian Ocean shares its name with a type of get-together,Reunion Island
5819,2009-12-24,Final Jeopardy!,SPORTSWOMEN,None,"Referring to a 1999 incident, her autobiography is titled ""It's Not About the Bra""",Brandi Chastain
3703,2000-10-11,Jeopardy!,MAY,$300,"This institution was formally dedicated May 1, 1847 in Washington, D.C.",Smithsonian Institution
6047,2010-12-21,Double Jeopardy!,LYRICS OF NO.1 HITS,$2000,"1982: ""Oh-oh here she comes, watch out boy, she'll chew you up, oh-oh here she comes, she's a...""","""a maneater"""
5115,2006-12-01,Double Jeopardy!,IN THE MIDDLE OF THE STATE,$800,"The General Assembly legislates this state's ""law""",Delaware
3031,1997-11-03,Double Jeopardy!,FUN WITH OPERA,$800,"Of all the operas we know, this 1893 work based on a Grimm role has the most gingerbread in it",Hansel and Gretel
5719,2009-06-18,Jeopardy!,TOP 40 COMMENCEMENT ADDRESSES?,$400,"""The past is gone; it went by like dusk to dawn... Dream on, dream on, dream yourself a dream come true""",Aerosmith
4652,2004-11-23,Jeopardy!,MOVIE TITLE TRANSLATIONS,$600,"In France, Billy Crystal learned all about ""life, love and cows"" in this film",City Slickers
5847,2010-02-02,Double Jeopardy!,COMMENCEMENT SPEECHES,$1600,"Speaking at the Boston College Law School, this Fed head praised J.K. Rowling & quoted John Lennon",Bernanke
5051,2006-07-24,Jeopardy!,AMERICAN BUSINESS,$200,"Johnson & Johnson has been ""stuck on"" this product for 85 years",Band-Aids
3015,1997-10-10,Double Jeopardy!,BOOKS ABOUT TV SHOWS,$900,Colin Dexter & Dick Francis contributed to a book about this PBS anthology series,Mystery!
2858,1997-01-22,Jeopardy!,AMERICAN LIT,$200,"In 1876 we saw ""The Adventures Of"" this character; in 1894 he went ""Abroad"" & in 1896 became a ""Detective""",Tom Sawyer
1290,1990-03-23,Double Jeopardy!,ACTORS & THEIR ROLES,$200,"Tom Hanks got the starring role in this ""huge"" film after Robert De Niro turned it down","""Big"""
6159,2011-05-26,Double Jeopardy!,BIBLE BOOK BINDINGS,$400,Hey ___ Law,Jude
6256,2011-11-28,Double Jeopardy!,NATIVE AMERICAN FOODS,$1600,"(<a href=""http://www.j-archive.com/media/2011-11-28_DJ_18.jpg"" target=""_blank"">Sarah of the Clue Crew presents the clue.</a>)  Native Americans traditionally prepared <a href=""http://www.j-archive.com/media/2011-11-28_DJ_18a.jpg"" target=""_blank"">salmon</a> by splitting them & placing them on planks of this evergreen conifer",cedar
4960,2006-03-17,Double Jeopardy!,CANALS,$400,The city of Balboa is the Pacific terminus of this 51-mile-long canal,the Panama Canal
3823,2001-03-28,Jeopardy!,DESPERATE MEASURES,$400,There are 192 of these in 12 pounds,Ounces
4924,2006-01-26,Double Jeopardy!,"WALK INTO A ""BAR""",$400,"It's been said life is this, old chum, a restaurant with music & often a floor show",a cabaret
5523,2008-09-17,Double Jeopardy!,COLLEGES & UNIVERSITIES,$2000,Martha Stewart & Anna Quindlen are graduates of this women's college that's affiliated with Columbia,Barnard
5226,2007-05-07,Jeopardy!,BOOKS & AUTHORS,$800,"Perhaps the effort killed him--he died not long after completing his masterpiece ""The Brothers Karamazov""",Dostoyevsky
3582,2000-03-14,Jeopardy!,1998 QUOTATIONS,$100,"Concerning a failed Windows 98 demonstration, he said, ""I guess we still have some bugs to work out""",Bill Gates
5398,2008-02-13,Double Jeopardy!,9-LETTER WORDS,$400,Impossible to read because of poor handwriting,illegible
5926,2010-05-24,Jeopardy!,GAP,$200,Feel like a swim?  The gap between Florida & this island nation of 11 million is about 90 miles,Cuba
5955,2010-07-02,Jeopardy!,NEW TESTAMENT QUOTES,$200,"In Luke, Elisabeth told her, ""Blessed art thou amoung women, and blessed is the fruit of thy womb""",Mary
5234,2007-05-17,Double Jeopardy!,THE SCIENCE OF SOUND,$800,"""Wood"" you like to name this, the quality of voiced speech sound that lets the ear identify it",timbre
5284,2007-07-26,Jeopardy!,DOWN SOUTH,$800,In 2004 this hyphenated North Carolina city was named one of the most livable cities in America,Winston-Salem
1651,1991-11-04,Jeopardy!,1991 FILMS,$400,"""Once Around"" re-teamed Holly Hunter & this actor, her co-star from ""Always""",Richard Dreyfuss
5535,2008-10-03,Jeopardy!,"YOU JUST HAVE TO ""ASK""",$1000,Gordie Howe got his first pair of skates growing up in this Canadian city,Saskatoon
3585,2000-03-17,Double Jeopardy!,SCIENTISTS,$600,Daniel Webster represented this vulcanization inventor in a patent infringement trial,Charles Goodyear
4532,2004-04-27,Double Jeopardy!,PREHISTORIC TIMES,$2000,"The name of this earliest human species is Latin for ""skillful human being""",Homo habilis
5972,2010-07-27,Jeopardy!,DOUBLE TALK,$600,A soft sound separate from normal heart action; it may indicate a serious problem,a murmur
3131,1998-03-23,Final Jeopardy!,SINGERS,None,"Artist who released the 1991 double album ""Who'll Buy My Memories:  The I.R.S. Tapes""",Willie Nelson
4824,2005-07-21,Jeopardy!,SOUND TECHNOLOGY,$200,"<a href=""http://www.j-archive.com/media/2005-07-21_J_22.mp3"">This</a> computer device slowly takes you online",a modem
5850,2010-02-05,Double Jeopardy!,NAME THAT CENTURY,$2000,The Manchu Dynasty is overthrown in China,the 20th century
1983,1993-03-31,Jeopardy!,"""C"" HERE",$100,"Fear, Horn & Cod are 3 of these",capes
5628,2009-02-11,Double Jeopardy!,A DAY AT THE MUSEUM,$800,"(<a href=""http://www.j-archive.com/media/2009-02-11_DJ_12.jpg"" target=""_blank"">Sarah of the Clue Crew reports from Bilbao, Spain.</a>) What ""The New York Times"" called ""the miracle in Bilbao"", <a href=""http://www.j-archive.com/media/2009-02-11_DJ_12a.jpg"" target=""_blank"">this</a> building was made possible by computer design & a 1/10th-inch thick <a href=""http://www.j-archive.com/media/2009-02-11_DJ_12b.jpg"" target=""_blank"">skin</a> made of this material used on spacecraft",titanium
4361,2003-07-14,Double Jeopardy!,COUNTRY SINGERS,$400,"Sinead O'Connor, famed for her shaved head",Ireland
4589,2004-07-15,Double Jeopardy!,"""S"" TOUGH",$2000,"The 2 last names of R.L. & M.L., who formed a company in 1924 to publish a book of crosswords",Simon and Schuster
5959,2010-07-08,Jeopardy!,WALK WITH ME,$200,"A move you might have learned in preschool is called this squatting ""walk"", after a bird",a duckwalk
4172,2002-10-22,Double Jeopardy!,WHERE THEY PLAY,$2000,Kurt Warner,TWA Dome/Edward Jones Dome
1872,1992-10-27,Double Jeopardy!,WORLD LITERATURE,$600,"Rohan, or Riddermark, is an important realm of Middle-Earth in books by this author",Tolkien
